Date-Time,Radius of Curvature (m),Curve Direction,Off Center Distance (m),Deviated Direction
2021-02-28 14:13:38.881584,12.962769457174545,Left Curve,1.038,Right
2021-02-28 14:13:40.132799,13.272877360765147,Left Curve,1.038,Right
2021-02-28 14:13:40.768798,12.50008862879196,Left Curve,1.048,Right
2021-02-28 14:13:41.410844,12.477167645361618,Left Curve,1.059,Right
2021-02-28 14:13:42.051105,12.379972379873774,Left Curve,1.064,Right
2021-02-28 14:13:42.691006,12.688935391205982,Left Curve,1.048,Right
2021-02-28 14:13:43.337743,12.879973909312495,Left Curve,1.028,Right
2021-02-28 14:13:44.291883,13.081359418541005,Left Curve,1.007,Right
2021-02-28 14:13:45.251273,12.590956801937125,Left Curve,1.002,Right
2021-02-28 14:13:46.211752,12.585320001656218,Left Curve,0.997,Right
2021-02-28 14:13:46.853450,12.782187470697673,Left Curve,0.987,Right
2021-02-28 14:13:47.491220,13.099682113871818,Left Curve,0.971,Right
2021-02-28 14:13:48.128905,13.599211665924255,Left Curve,0.966,Right
2021-02-28 14:13:48.769423,14.01785042225956,Left Curve,0.951,Right
2021-02-28 14:13:49.412466,14.11583834744204,Left Curve,0.94,Right
2021-02-28 14:13:50.052641,14.935422467353359,Left Curve,0.925,Right
2021-02-28 14:13:50.690397,15.152085405709235,Left Curve,0.92,Right
2021-02-28 14:13:51.328380,15.437301495202608,Left Curve,0.91,Right
2021-02-28 14:13:51.971289,15.852367456702597,Left Curve,0.904,Right
2021-02-28 14:13:52.611605,16.44495135040452,Left Curve,0.904,Right
2021-02-28 14:13:53.252867,16.59808910526047,Left Curve,0.899,Right
2021-02-28 14:13:53.895213,16.128680826680647,Left Curve,0.894,Right
2021-02-28 14:13:54.535086,17.318581366546624,Left Curve,0.889,Right
2021-02-28 14:13:55.169908,18.19877007693876,Left Curve,0.879,Right
2021-02-28 14:13:55.810037,17.299582309126635,Left Curve,0.894,Right
2021-02-28 14:13:56.450679,17.67008970774426,Left Curve,0.904,Right
2021-02-28 14:13:57.089774,16.391550447054076,Left Curve,0.858,Right
2021-02-28 14:13:57.730134,20.550886145198923,Left Curve,0.868,Right
2021-02-28 14:13:58.687751,20.168216172979214,Left Curve,0.879,Right
2021-02-28 14:13:59.347507,17.34592466873894,Left Curve,0.889,Right
2021-02-28 14:13:59.970176,16.01634219600097,Left Curve,0.899,Right
2021-02-28 14:14:00.610887,15.574688804131913,Left Curve,0.915,Right
2021-02-28 14:14:01.250131,13.407372512658316,Left Curve,0.935,Right
2021-02-28 14:14:01.891030,12.56760462559384,Left Curve,0.966,Right
2021-02-28 14:14:02.529450,12.195698592944975,Left Curve,0.976,Right
2021-02-28 14:14:03.171715,11.945336372269004,Left Curve,0.997,Right
2021-02-28 14:14:03.811923,12.313124745332466,Left Curve,0.992,Right
2021-02-28 14:14:04.451243,13.079000513307,Left Curve,0.987,Right
2021-02-28 14:14:05.090604,13.031998508100692,Left Curve,0.971,Right
2021-02-28 14:14:05.733702,13.234709096797154,Left Curve,0.971,Right
2021-02-28 14:14:06.302252,12.564022237249498,Left Curve,0.961,Right
2021-02-28 14:14:07.021522,12.15505638629794,Left Curve,0.971,Right
2021-02-28 14:14:07.562267,12.258953032983737,Left Curve,0.976,Right
2021-02-28 14:14:08.291000,11.92056470218846,Left Curve,0.982,Right
2021-02-28 14:14:08.940313,12.217068851050865,Left Curve,0.997,Right
2021-02-28 14:14:09.487912,11.99545599618732,Left Curve,1.012,Right
2021-02-28 14:14:10.066883,14.424934187140995,Left Curve,0.976,Right
2021-02-28 14:14:10.854901,13.88412798310504,Left Curve,0.992,Right
